id,abime,cannabidiol,cannabigerol,cannabinol,cbd,cbn,couleur,couleur_exterieur,couleur_exterieur_1,couleur_interieur,delta9_tetrahydrocannabinol,description_de_l_objet,epaisseur,etiquette,forme,hauteur,largeur,logo,longueur,masse,nom_de_logo,numero_echantillon,ovule,presentation,secabilite_recto,secabilite_verso,taux_cbd,taux_cbn,type_drogue,visqueux
329,,,,,,1,,,,,11.6,,,,,,,Non,,,,13,,Sommités,,,,0,Cannabis,
330,,,,,,,,,,,18.2,,,,,,,Non,,,,10,,Sommités,,,,,Cannabis,
331,,,,,,1,Jaune,,,,,,,,,,,Non,,,,1-1,0,,,,,0,Cannabis,1
332,,,,,,1,Marron,,,,,,,,,,,Non,,,,1-2,0,,,,,0,Cannabis,1
333,,,,,1,,,,,,0,,,,,,,Non,,,,1,,Sommités,,,8.3,,Cannabis,
334,,,,,,1,Marron,,,,,,,,,,,Non,,,,1-3,0,,,,,0,Cannabis,1
338,,,,,,,,,,,16.1,,,,,,,Non,,,,5,,,,,,,Cannabis,
339,,,,,,,,,,,16.1,,,,,,,Non,,,,3,,,,,,,Cannabis,
380,,,,,1,1,,,,,24.9,,29,Oui,,,50,Oui,103,92.7,MARIJUANA OUTLAWS,1,,Plaquette,,,0,6.2,Cannabis,
381,,,,,,1,,,,,18.6,,,,,,,Non,,,,2,,Sommités,,,,0,Cannabis,
382,,,,,1,1,,,,,30.9,,46.33,,,,76.27,Non,131.17,191.4,,P1,,Plaquette,,,1.7,0,Cannabis,
383,,,,,1,1,,,,,30.9,,46.33,,,,76.27,Non,131.17,191.4,,P2,,Plaquette,,,1.7,0,Cannabis,
384,,,,,1,1,,,,,30.9,,46.33,,,,76.27,Non,131.17,191.4,,P3,,Plaquette,,,1.7,0,Cannabis,
385,,,,,1,1,,,,,18.6,,,,,,,Non,,0.5,,4783,,Morceaux,,,2.6,6.5,Cannabis,
387,,,,,,1,,,,,16.2,,,,,,,Non,,,,7,,Sommités,,,,0,Cannabis,
388,,,,,1,1,,,,,29,,,,,,,Non,,1.6,,8,,Morceaux,,,2.3,1.7,Cannabis,
389,,,,,1,1,,,,,29,,,,,,,Non,,1.6,,9,,Morceaux,,,2.3,1.7,Cannabis,
390,,,,,1,1,,,,,29,,,,,,,Non,,1.6,,15,,Morceaux,,,2.3,1.7,Cannabis,
391,,,,,,,,,,,12,,,,,,,Non,,,,20_066058,,Sommités,,,,,Cannabis,
392,,,,,,,,,,,12,,,,,,,Non,,,,20_066059,,Sommités,,,,,Cannabis,
393,,,,,,,,,,,12,,,,,,,Non,,,,20_066060,,Sommités,,,,,Cannabis,
394,,,,,1,,,,,,1,,,,,,,Non,,,,20_066057,,Sommités,,,11,,Cannabis,
444,,,,,1,1,,,,,20.1,,27,Oui,,,57,Oui,99,99.5,Cannabis Caveman,A,,Plaquette,,,1.6,0,Cannabis,
445,,,,,1,1,,,,,28.5,,22,Oui,,,54,Oui,108,97.3,CUPRA,B,,Plaquette,,,1,0,Cannabis,
448,,,,,1,1,,,,,31.7,,28,Oui,,,51,Oui,97,99,AS MONACO FC,1,,Plaquette,,,1.7,0,Cannabis,
449,,,,,1,1,,,,,26.7,,26,Oui,,,60,Oui,86,100.7,MAF,2,,Plaquette,,,1.5,0,Cannabis,
450,,,,,1,1,,,,,23.6,,25,Oui,,,61,Oui,89,100.6,SUPER LEMON HAZE,3,,Plaquette,,,1.6,0,Cannabis,
451,,,,,1,1,,,,,30.6,,28,Oui,,,48,Oui,105,100.8,AMNESIA,4,,Plaquette,,,1.6,0,Cannabis,
452,,,,,1,1,,,,,18.5,,29,Oui,,,49,Oui,98,99.5,LOUIS VITTON,5,,Plaquette,,,1.4,0,Cannabis,
453,,,,,1,1,,,,,35.1,,26,Oui,,,55,Oui,87,97.3,YOGA,6,,Plaquette,,,1.9,0,Cannabis,
462,,,,,1,1,,,,,28.4,,22,Oui,,,61,Oui,103,97.7,NETFLIX,1,,Plaquette,,,2.6,1.9,Cannabis,
463,,,,,1,1,,,,,28.6,,,,,,,Non,,4.6,,2,,Morceaux,,,2.5,1.9,Cannabis,
464,,,,,1,1,,,,,28.6,,,,,,,Non,,4.6,,3,,Morceaux,,,2.5,1.9,Cannabis,
465,,,,,1,1,,,,,28.6,,,,,,,Non,,4.6,,4,,Morceaux,,,2.5,1.9,Cannabis,
466,,,,,1,1,,,,,28.6,,,,,,,Non,,4.6,,5,,Morceaux,,,2.5,1.9,Cannabis,
467,,,,,1,1,,,,,28.6,,,,,,,Non,,4.6,,6,,Morceaux,,,2.5,1.9,Cannabis,
468,,,,,1,1,,,,,28.6,,,,,,,Non,,4.6,,7,,Morceaux,,,2.5,1.9,Cannabis,
469,,,,,1,1,,,,,28.6,,,,,,,Non,,4.6,,8,,Morceaux,,,2.5,1.9,Cannabis,
472,,,,,,,,,,,20.1,,,,,,,Non,,,,1,,Sommités,,,,,Cannabis,
473,,,,,,,,,,,20.1,,,,,,,Non,,,,2,,Sommités,,,,,Cannabis,
474,,,,,1,1,,,,,29,,30.1,Oui,,,53.8,Oui,86.6,95.2,LINO,20_0660031,,Plaquette,,,2,1,Cannabis,
475,,,,,1,1,,,,,17.7,,,,,,,Non,,1.6,,M-1,,Morceaux,,,2.9,1.5,Cannabis,
476,,,,,1,,,,,,0,,,,,,,Non,,,,M-2,,Sommités,,,13.6,,Cannabis,
477,,,,,1,,,,,,0,,,,,,,Non,,,,H,,Sommités,,,13.6,,Cannabis,
478,,,,,1,1,,,,,29.5,,,,,,,Non,,2,,R,,Morceaux,,,1,0,Cannabis,
485,,,,,,1,,,,,14,,,,,,,Non,,,,20_066052,,Sommités,,,,0,Cannabis,
486,,,,,,1,,,,,12,,,,,,,Non,,,,20_066053,,Sommités,,,,0,Cannabis,
487,,,,,,1,,,,,15,,,,,,,Non,,,,20_066054,,Sommités,,,,0,Cannabis,
488,,,,,,1,,,,,12,,,,,,,Non,,,,20_066055,,Sommités,,,,0,Cannabis,
489,,,,,1,1,,,,,28.7,,23,Oui,,,52,Oui,104,97.4,critical white widow,2,,Plaquette,,,2.1,0,Cannabis,
492,,,,,,,,,,,13.4,,,,,,,Non,,,,4-2,,Sommités,,,,,Cannabis,
493,,,,,,,,,,,13.4,,,,,,,Non,,,,4-3,,Sommités,,,,,Cannabis,
494,,,,,,,,,,,13.4,,,,,,,Non,,,,4-4,,Sommités,,,,,Cannabis,
495,,,,,,,,,,,13.4,,,,,,,Non,,,,4-5,,Sommités,,,,,Cannabis,
496,,,,,,,,,,,15,,,,,,,Non,,7.8,,4-1,,Morceaux,,,,,Cannabis,
508,,,,,,,,,,,14,,,,,,,Non,,,,20_066062 20_066063 20_066064,,Sommités,,,,,Cannabis,
509,,,,,1,1,,,,,29,,24.6,Oui,,,61.5,Oui,85.9,96.5,PLATA O PLOMO,20_066065 20_066066 20_066067,,Plaquette,,,1,0,Cannabis,
510,,,,,1,1,,,,,23,,27.7,Oui,,,55.7,Oui,87.2,98.5,SUPER FIRE,20_066068 20_066069 20_066070,,Plaquette,,,1,0,Cannabis,
511,,,,,1,1,,,,,24,,25.7,Oui,,,57,Oui,109.5,96.8,BLUE DREAM,20_066071 20_066072 20_066073,,Plaquette,,,1,0,Cannabis,
512,,,,,1,1,,,,,32,,22.3,Oui,,,50.5,Oui,88.9,96.6,ESPANA MARBELLA,20_066074 20_066075 20_066076,,Plaquette,,,1,0,Cannabis,
513,,,,,1,1,,,,,25,,23.6,Oui,,,50.8,Oui,89.8,97.8,Dosidos,20_066077 20_066078 20_066079,,Plaquette,,,1,1,Cannabis,
514,,,,,1,1,,,,,31,,24.3,Oui,,,51,Oui,87.9,96.7,buste de sportif rouge,20_066080 20_066081 20_066082,,Plaquette,,,1,1,Cannabis,
515,,,,,1,1,,,,,26,,23.9,Oui,,,56.6,Oui,102.6,94.9,ZIKAMAN,20_066083 20_066084,,Plaquette,,,2,1,Cannabis,
516,,,,,1,1,,,,,18,,28.8,Oui,,,53.8,Oui,97,99.9,KIA,20_066085 20_066086,,Plaquette,,,3,2,Cannabis,
517,,,,,1,1,,,,,13,,18.9,Non,,,52.4,Oui,104.1,96.9,cheval,20_066087,,Plaquette,,,3,1,Cannabis,
528,,,,,1,1,,,,,36,,,,,,,Non,,,,2-1,,Morceaux,,,0,0,Cannabis,
529,,,,,1,1,,,,,36,,,,,,,Non,,,,2-2,,Morceaux,,,0,0,Cannabis,
530,,,,,,,,,,,16,,,,,,,Non,,,,4-1,,Sommités,,,,,Cannabis,
531,,,,,1,,,,,,0.4,,,,,,,Non,,,,4-2,,Sommités,,,13,,Cannabis,
537,,,,,1,1,,,,,17.9,,25,Oui,,,53,Oui,96,95.9,tattoo,10,,Plaquette,,,2.8,1.6,Cannabis,
545,,,,,1,1,,,,,14,,,,,,,Non,,2.7,,SA 3,,Morceaux,,,0,0,Cannabis,
546,,,,,1,1,,,,,19.5,,,,,,,Non,,,,SA 11,,Sommités,,,0,0,Cannabis,
547,,,,,1,1,,,,,18.5,,,,,,,Non,,,,SA 19,,Sommités,,,0,0,Cannabis,
550,,,,,1,,,,,,0,,16,,,,53,Non,53,50.5,,1,,Plaquette,,,12.9,,Cannabis,
551,,,,,1,1,,,,,12.1,,,,,,,Non,,,,3,,Sommités,,,0,0,Cannabis,
552,,,,,,,,,,,7.8,,,,,,,Non,,,,1,,,,,,,Cannabis,
553,,,,,1,1,,,,,23.8,,23,Oui,,,58,Oui,92,96.1,Brionj,3,,Plaquette,,,1.6,2.6,Cannabis,
554,,,,,1,1,,,,,29.7,,,,,,,Non,,0.2,,5,,Morceaux,,,2.2,1.2,Cannabis,
555,,,,,1,,,,,,0,,,,,,,Non,,0.2,,7,,Morceaux,,,14.1,,Cannabis,
588,,,,,,,,,,,14.4,,,,,,,Non,,,,6,,Sommités,,,,,Cannabis,
589,,,,,,,,,,,14.4,,,,,,,Non,,,,6-1,,Sommités,,,,,Cannabis,
590,,,,,,,,,,,14.4,,,,,,,Non,,,,6-3,,Sommités,,,,,Cannabis,
591,,,,,,,,,,,8.4,,,,,,,Non,,,,6-2,,Sommités,,,,,Cannabis,
592,,,,,,,,,,,12.1,,,,,,,Non,,,,A1-1,,Sommités,,,,,Cannabis,
593,,,,,,,,,,,12.1,,,,,,,Non,,,,A16-1,,Sommités,,,,,Cannabis,
594,,,,,,,,,,,12.1,,,,,,,Non,,,,B4-1,,Sommités,,,,,Cannabis,
595,,,,,,,,,,,12.1,,,,,,,Non,,,,B16-1,,Sommités,,,,,Cannabis,
596,,,,,1,,,,,,0,,24,,,,52,Non,,55.8,,1,,Plaquette,,,14.6,,Cannabis,
597,,,,,1,,,,,,0,,,,,,,Non,,,,1,,Sommités,,,7.1,,Cannabis,
606,,,,,1,,,,,,6.9,,,,,,,Non,,,,5,,Débris végétaux,,,2,,Cannabis,
607,,,,,,1,,,,,16.7,,,,,,,Non,,,,7,,Sommités,,,,0,Cannabis,
608,,,,,1,,,,,,0,,,,,,,Non,,1.1,,1,,Morceaux,,,9.1,,Cannabis,
609,,,,,1,1,,,,,6.4,,24,Oui,,,60,Oui,84,96.6,ctazy,1,,Plaquette,,,0,0,Cannabis,
610,,,,,1,1,,,,,34.2,,,,,,,Non,,10.2,,1,,Morceaux,,,1.8,0,Cannabis,
611,,,,,1,1,,,,,8,,,,,,,Non,,6.5,,1,,Morceaux,,,1.1,0,Cannabis,
622,,,,,1,1,,,,,28.4,,27,Oui,,,53,Oui,101,97.4,CUPRA,5,,Plaquette,,,0,0,Cannabis,
629,,,,,1,1,,,,,7.1,,,,,,,Non,,,,1,,Sommités,,,0,0,Cannabis,
630,,,,,1,1,,,,,4.7,,,,,,,Non,,,,2,,Sommités,,,4.1,0,Cannabis,
631,,,,,,,,,,,7.5,,,,,,,Non,,,,3,,Sommités,,,,,Cannabis,
634,,,,,,1,,,,,10.7,,,,,,,Non,,,,1,,Sommités,,,,0,Cannabis,
635,,,,,1,1,,,,,27.5,,21,Oui,,,54,Oui,103,96.4,HAWAIIAN GOLD sommité fleurie,2,,Plaquette,,,1.8,0,Cannabis,
636,,,,,1,1,,,,,26.3,,17,Oui,,,58,Oui,105,92.5,chapo guzman,1,,Plaquette,,,1.8,3.1,Cannabis,
637,,,,,1,1,,,,,19.6,,,,,,,Non,,28.5,,A,,Morceaux,,,1.4,0,Cannabis,
642,,,,,1,1,,,,,33,,21.1,Oui,,,52.3,Oui,109.5,95.43,COURONNE+GOLD KITAMA,20_066097,,Plaquette,,,1,1,Cannabis,
643,,,,,1,1,,,,,30,,24,Oui,,,64.8,Oui,86.5,94.88,FEUILLE NR,20_066098,,Plaquette,,,1,1,Cannabis,
644,,,,,1,1,,,,,19,,,,,,,Non,,1.2,,20_066113,,Morceaux,,,1,4,Cannabis,
645,,,,,1,1,,,,,25,,23.5,Oui,,,57.8,Oui,100.3,97.6,CRITICAL+,20_066096,,Plaquette,,,1,1,Cannabis,
648,,,,,,,,,,,9,,,,,,,Non,,,,21,,Sommités,,,,,Cannabis,
650,,,,,,,,,,,3,,,,,,,Non,,,,1B,,Sommités,,,,,Cannabis,
651,,,,,,,,,,,3,,,,,,,Non,,,,M9,,Sommités,,,,,Cannabis,
654,,,,,1,,,,,,0,,25,,,,52,Non,101,92.7,,a,,Plaquette,,,15.5,,Cannabis,
655,,,,,,,,,,,5.2,,,,,,,Non,,,,1,,Sommités,,,,,Cannabis,
656,,,,,,,,,,,7.2,,,,,,,Non,,,,1,,Sommités,,,,,Cannabis,
657,,,,,,,,,,,10.9,,,,,,,Non,,,,2,,Sommités,,,,,Cannabis,
658,,,,,,,,,,,5,,,,,,,Non,,,,3,,,,,,,Cannabis,
659,,,,,1,1,,,,,18.3,,23,Oui,,,56,Oui,106,95.8,BATMAN chauve souris,5,,Plaquette,,,1.1,1.2,Cannabis,
660,,,,,1,1,,,,,18.8,,,,,,,Non,,1.1,,1,,Morceaux,,,1.1,1.2,Cannabis,
661,,,,,1,1,,,,,18.8,,,,,,,Non,,1.7,,2,,Morceaux,,,1.1,1.1,Cannabis,
662,,,,,1,1,,,,,18.6,,,,,,,Non,,0.6,,3,,Morceaux,,,1.1,1.2,Cannabis,
663,,,,,,,,,,,6,,,,,,,Non,,,,20_066127,,Sommités,,,,,Cannabis,
664,,,,,,,,,,,6,,,,,,,Non,,,,20_066128,,Sommités,,,,,Cannabis,
665,,,,,1,1,,,,,18.8,,,,,,,Non,,1.1,,2,,Morceaux,,,1.1,1.2,Cannabis,
666,,,,,1,1,,,,,18.8,,,,,,,Non,,1.1,,3,,Morceaux,,,1.1,1.2,Cannabis,
667,,,,,1,1,,,,,0.3,,,,,,,Non,,,,2,,Débris végétaux,,,10,0,Cannabis,
668,,,,,1,1,,,,,32,,,,,,,Non,,,,5,,Morceaux,,,2,0,Cannabis,
673,,,,,,,,,,,12,,,,,,,Non,,,,20_066099,,Sommités,,,,,Cannabis,
674,,,,,,,,,,,12,,,,,,,Non,,,,20_066100,,Sommités,,,,,Cannabis,
675,,,,,,,,,,,12,,,,,,,Non,,,,20_066102,,Sommités,,,,,Cannabis,
677,,,,,,,,,,,15,,,,,,,Non,,,,20_066101,,Sommités,,,,,Cannabis,
678,,,,,,,,,,,18,,,,,,,Non,,,,20_066112,,Sommités,,,,,Cannabis,
685,,,,,1,,,,,,0.4,,,,,,,Non,,,,20_066119,,Sommités,,,9,,Cannabis,
686,,,,,,,,,,,15.4,,,,,,,Non,,,,N,,Sommités,,,,,Cannabis,
687,,,,,,,,,,,15.4,,,,,,,Non,,,,T,,Sommités,,,,,Cannabis,
688,,,,,1,,,,,,0.1,,,,,,,Non,,,,20_066129,,Sommités,,,2,,Cannabis,
689,,,,,1,,,,,,0.1,,,,,,,Non,,,,20_066130,,Sommités,,,2,,Cannabis,
690,,,,,1,1,,,,,22,,,,,,,Non,,29.1,,20_066114,,Morceaux,,,0.5,0.7,Cannabis,
691,,,,,1,1,,,,,22,,,,,,,Non,,29.1,,20_066115,,Morceaux,,,0.5,0.7,Cannabis,
692,,,,,1,1,,,,,30,,,,,,,Non,,17.36,,20_066117,,Morceaux,,,1.2,0.5,Cannabis,
693,,,,,1,1,,,,,30,,,,,,,Non,,17.36,,20_066120,,Morceaux,,,1.2,0.5,Cannabis,
694,,,,,1,1,,,,,35,,,,,,,Non,,75.3,,20_066122,,Morceaux,,,0.5,0.6,Cannabis,
695,,,,,1,1,,,,,29,,,Oui,,,,Non,,43.59,IR,20_066121,,Morceaux,,,1.9,0.7,Cannabis,
697,,,,,1,1,,,,,35,,,,,,,Non,,75.3,,20_066124,,Morceaux,,,0.5,0.6,Cannabis,
698,,,,,1,1,,,,,34,,,Non,,,,Oui,,34.1,IR,20_066123,,Morceaux,,,0.9,0.6,Cannabis,
699,,,,,1,1,,,,,33,,,,,,,Non,,22.88,,20_066125,,Morceaux,,,0.8,1.1,Cannabis,
